anchor_point_lat,anchor_point_lon,lat - extent/2,lon - extent/2,lat + extent/2,lon + extent/2,find_point_lat,find_point_lon,find_point_x,find_point_y
43.06902,-74.48481,43.13461,-74.394978,43.00336,-74.574642,43.05475,-74.4839,,
43.8756,-74.43076,43.94032,-74.340928,43.81081,-74.520592,43.91132,-74.37437,,
43.41544,-74.4148,43.480658,-74.324968,43.350152,-74.504632,43.41544,-74.4148,,
43.42473,-73.73209,43.489938,-73.642258,43.359452,-73.821922,43.42878,-73.73981,,
43.59779,-74.55354,43.662811,-74.463708,43.532699,-74.643372,43.5987,-74.55334,,
43.4449,-74.4086,43.510086,-74.318768,43.379644,-74.498432,43.43407,-74.40747,,
43.4332,-74.41433,43.498398,-74.324498,43.367931,-74.504162,43.45684,-74.41519,,
43.4539,-74.52317,43.519076,-74.433338,43.388654,-74.613002,43.38768,-74.5133,,
43.63354,-74.55927,43.698522,-74.469438,43.568488,-74.649102,43.63926,-74.55836,,
44.19204,-74.26329,44.256415,-74.173458,44.127595,-74.353122,44.05675,-74.53854,,
44.31349,-74.56818,44.377732,-74.478348,44.249178,-74.658012,44.31083,-74.57087,,
43.42498,-74.41496,43.490187,-74.325128,43.359702,-74.504792,43.41592,-74.4142,,
43.33195,-74.49095,43.397257,-74.401118,43.266572,-74.580782,43.24431,-74.48453,,
43.95385,-75.15748,44.018484,-75.067648,43.889145,-75.247312,43.99774,-75.16148,,
44.12993,-74.58844,44.194373,-74.498608,44.065417,-74.678272,44.05528,-74.58339,,
44.28656,-74.61429,44.350831,-74.524458,44.222218,-74.704122,44.28923,-74.60208,,
43.51063,-74.57393,43.575745,-74.484098,43.445445,-74.663762,43.53014,-74.57169,,
44.19013,-74.81336,44.254507,-74.723528,44.125683,-74.903192,44.18772,-74.79719,,
43.65649,-76.00019,43.721447,-75.910358,43.591462,-76.090022,43.65566,-76.0115,,
42.42501,-76.47478,42.491285,-76.384948,42.358665,-76.564612,42.42506,-76.47481,,
42.31735,-76.47791,42.383739,-76.388078,42.250891,-76.567742,42.30271,-76.48976,,
42.34432,-77.47638,42.41068,-77.386548,42.27789,-77.566212,42.36077,-77.48593,,
42.25618,-77.78988,42.322633,-77.700048,42.189657,-77.879712,42.25648,-77.79011,,
42.39831,-72.88675,42.464613,-72.796918,42.331937,-72.976582,42.39831,-72.88675,,
48.1103,-121.4917,48.170245,-121.401868,48.050285,-121.581532,48.142,-121.4739,,
48.64606,-122.4247,48.705378,-122.334868,48.586673,-122.514532,48.75667,-122.41589,,
